,online_order,order_status,brand_0,brand_1,brand_2,product_line_0,product_line_1,product_line_2,product_class_0,product_class_1,product_size,list_price,standard_cost,gender_0,gender_1,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,property_valuation,transaction_date_days_since_first,transaction_date_month,transaction_date_day,transaction_date_day_week,date_product_first_sold_days_since_first,date_product_first_sold_year,date_product_first_sold_month,date_product_first_sold_day,date_product_first_sold_day_week,latitude,longitude,job_title_0,job_title_1,job_title_2,job_title_3,job_title_4,job_title_5,job_title_6,job_title_7,job_industry_category_0,job_industry_category_1,job_industry_category_2,job_industry_category_3,years_since_1st_DOB
0,False,0,0,0,1,0,0,1,0,1,1,71.49,53.62,0,1,19.0,0,1,10.0,6.0,55,2,25,5,7986,2012,12,4,1,-37.54684330092879,144.96359127801858,0,0,0,0,0,0,0,1,0,0,0,1,19.38945927446954
1,False,0,0,1,0,0,0,1,0,1,1,1403.5,954.82,0,1,19.0,0,1,10.0,6.0,288,10,16,0,4400,2003,2,9,6,-37.54684330092879,144.96359127801858,0,0,0,0,0,0,0,1,0,0,0,1,19.38945927446954
2,False,0,0,0,1,0,0,1,0,1,1,478.16,298.72,0,1,19.0,0,1,10.0,6.0,115,4,26,2,7228,2010,11,7,6,-37.54684330092879,144.96359127801858,0,0,0,0,0,0,0,1,0,0,0,1,19.38945927446954
3,True,0,0,1,1,0,0,1,0,1,2,2091.47,388.92,1,0,89.0,0,1,10.0,5.0,140,5,21,6,8442,2014,3,5,2,-33.928074623582354,151.0524694880738,0,0,0,0,0,0,1,0,0,0,1,0,43.455167693360714
4,False,0,0,1,0,0,0,1,1,0,1,1129.13,677.48,1,0,89.0,0,1,10.0,5.0,277,10,5,3,7390,2011,4,18,0,-33.928074623582354,151.0524694880738,0,0,0,0,0,0,1,0,0,0,1,0,43.455167693360714
5,True,0,0,0,1,0,0,1,0,1,1,100.35,75.26,1,0,89.0,0,1,10.0,5.0,302,10,30,0,4743,2004,1,18,6,-33.928074623582354,151.0524694880738,0,0,0,0,0,0,1,0,0,0,1,0,43.455167693360714
6,False,0,0,1,0,0,0,1,0,1,2,569.56,528.43,1,0,89.0,0,1,10.0,5.0,29,1,30,0,1297,1994,8,12,4,-33.928074623582354,151.0524694880738,0,0,0,0,0,0,1,0,0,0,1,0,43.455167693360714
7,True,0,0,0,1,0,0,1,0,1,1,1577.53,826.51,1,0,89.0,0,1,10.0,5.0,19,1,20,4,812,1993,4,14,2,-33.928074623582354,151.0524694880738,0,0,0,0,0,0,1,0,0,0,1,0,43.455167693360714
8,False,0,0,0,1,0,1,0,0,1,1,416.98,312.74,1,0,89.0,0,1,10.0,5.0,343,12,10,6,8589,2014,7,30,2,-33.928074623582354,151.0524694880738,0,0,0,0,0,0,1,0,0,0,1,0,43.455167693360714
9,False,0,1,0,0,0,1,1,0,1,1,1466.68,363.25,1,0,89.0,0,1,10.0,5.0,296,10,24,1,4957,2004,8,19,3,-33.928074623582354,151.0524694880738,0,0,0,0,0,0,1,0,0,0,1,0,43.455167693360714
10,False,0,1,0,1,0,0,1,1,1,1,1793.43,248.82,0,1,9.0,1,0,22.0,1.0,288,10,16,0,3102,1999,7,22,3,-31.57355971896552,145.52120698103448,0,0,0,0,0,0,1,1,0,0,1,1,41.782340862423
11,True,0,0,1,1,0,1,0,1,1,0,1720.7,1531.42,0,1,9.0,1,0,22.0,1.0,307,11,4,5,5732,2006,10,3,1,-31.57355971896552,145.52120698103448,0,0,0,0,0,0,1,1,0,0,1,1,41.782340862423
12,True,0,1,0,0,0,0,1,0,1,1,1231.15,161.6,0,1,9.0,1,0,22.0,1.0,272,9,30,5,4957,2004,8,19,3,-31.57355971896552,145.52120698103448,0,0,0,0,0,0,1,1,0,0,1,1,41.782340862423
13,False,0,0,1,1,0,0,1,0,1,2,2091.47,388.92,0,1,9.0,1,0,22.0,1.0,28,1,29,6,7908,2012,9,17,0,-31.57355971896552,145.52120698103448,0,0,0,0,0,0,1,1,0,0,1,1,41.782340862423
14,True,0,1,0,1,0,0,1,1,1,1,71.16,56.93,0,1,9.0,1,0,22.0,1.0,124,5,5,4,8913,2015,6,19,4,-31.57355971896552,145.52120698103448,0,0,0,0,0,0,1,1,0,0,1,1,41.782340862423
15,False,0,1,1,0,0,1,0,0,1,2,1240.31,795.1,0,1,9.0,1,0,22.0,1.0,275,10,3,1,7294,2011,1,12,2,-31.57355971896552,145.52120698103448,0,0,0,0,0,0,1,1,0,0,1,1,41.782340862423
